,STATUS,cEXT,cNEU,cAGR,cCON,cOPN
55,"far away // ship taken far away... goshdarnit, muse, stop awesome.",0,1,0,0,1
56,little excited see talent show.,0,1,0,0,1
57,"tired. would sleep, cat desk requires supervision.",0,1,0,0,1
58,"hate you.// well, found me. congratulations. worth it?// thing managed break far heart.// brave. murder.// ever you?// care, you.// please proceed andorid hell.",0,1,0,0,1
59,"needs stupid, fluffy book read inbetween experiences normalcy.",0,1,0,0,1
60,late ride dad airport pick mamacita (as nowconfusion 11:20 pm landing illinois.,0,1,0,0,1
61,"complete love blackberry mom surprised with. yes. excited, caps completely necessary. happy face smiley happy face smiley happy face smiley happy face smiley happy face smileyhappy face smiley",0,1,0,0,1
62,"looking forward early january. birthday per se, potential meet good friend. happy face smiley",0,1,0,0,1
63,needs stop listening normal playlist wants stop waking feeling like missed something big.,0,1,0,0,1
64,spews toxic gas personal air bubble. super effective!,0,1,0,0,1
65,"comfortably comfy mildly oversized cotton jacket wal*mart. yay, soft. happy face smiley happy face smiley happy face smiley",0,1,0,0,1
66,"thinks oviedo play awesome (as be. sleep, though-- beckons sweetly promise dreams pillow-related comfort. night all.",0,1,0,0,1
67,"made nucketful cookies bunch baked fries. happy face smiley yes, awesome.",0,1,0,0,1
68,"made cookies, well bunch croissants breakfast piggies various blankets tomorrow afternoon. despite late//early hour, awesomeness.",0,1,0,0,1
69,fair idea manage 2.5 kids cliche... needs strong gentleman named *propname* thriteen wet napkins.,0,1,0,0,1
70,saw up. also saw two chuck norris movies. ffffffffffff- weirdest mix ever.,0,1,0,0,1
71,"autobot lunchbox, therefore die happy now. happy face smiley news, also spent last three hours reading webcomic started 1999.",0,1,0,0,1
72,", post office, long-overdue copy photoshop friend. win game clue.",0,1,0,0,1
73,clakclakclak rawrrrrr mel haxxxxxx rwrrrrrrrr lolzlolzlolzlolz hood punk stoopid yo,0,1,0,0,1
74,think are. golden.,0,1,0,0,1
75,lumberjack castro hat.,0,1,0,0,1
76,day wake realize slept twelve hours still want sleep day need get back regular sleeping schedule.,0,1,0,0,1
77,actually mind coloring markers much thought. yay coloring vividly creepy villainesses! laughing big grin laugh glasses,0,1,0,0,1
78,thinks maybe singing along radio eight-hour ride home help throat//cough//chestcold thingvery much.,0,1,0,0,1
79,drove gas station. number times sent panic behind wheel: 6. hate 40 mph zones. great dismay,0,1,0,0,1
80,"great new year everybody. happy face smiley happy face smiley make best everything see, never let bad stuff keep long!",0,1,0,0,1
81,"48 hours pretty much break work, clean room, dishes, rearrange furniture room, practive drop spins maybe dozen times. laughing big grin laugh glasses not, right?",0,1,0,0,1
82,open requests.,0,1,0,0,1
83,frankly loss far current internal project.,0,1,0,0,1
84,going stay awake night. able pass 9 pm tomorrow (todayconfusion.,0,1,0,0,1
85,sleep. remedies?,0,1,0,0,1
86,people want talk never online am?,0,1,0,0,1
87,"needs stop stressing personal stuff. homework beckons bejeweled, smirking claw, must answer, tethered iron responsibilities real life.",0,1,0,0,1
88,love hair today. happy face smiley,0,1,0,0,1
89,"right. happy face smiley today pretty much fantastic, around.",0,1,0,0,1
90,feels tomorrow busy nice day. happy face smiley,0,1,0,0,1
91,last day two-day mad dash finish. get work done time???,0,1,0,0,1
92,problem main reason come facebook join groups become fan things?,0,1,0,0,1
93,three hour nap afternoon sleep it.,0,1,0,0,1
94,dogs hood.,0,1,0,0,1
95,"roll; one short turkey, now.",0,1,0,0,1
96,breathe feels like insides clawing way belly button. hate pain.,0,1,0,0,1
97,reflecting actually happy ib right now.,0,1,0,0,1
98,class ring changes! whoop whoop! happy face smiley laughing big grin laugh glasses,0,1,0,0,1
99,kiss. kiss. lick. happy face smiley,0,1,0,0,1
100,lazy put stuff back order. maybe tomorrow.,0,1,0,0,1
101,serious crush *propname*. happy face smiley,0,1,0,0,1
102,bed bugs..... e,1,1,0,1,0
103,mosquito bites,1,1,0,1,0
104,mondays new thursdays- anthony bourdain + *propname*  = forgetting financial troubles,1,1,0,1,0
105,annoyed,1,1,0,1,0
106,"turning cell moment, next days- take personally.",1,1,0,1,0
107,trying figure everything.....,1,1,0,1,0
108,wants friend exboyfriend drama drama,1,1,0,1,0
109,count,1,1,0,1,0
110,"little things life- fresh flowers, katie ion, netflix instant movies",1,1,0,1,0
111,bummed instant movie pull,1,1,0,1,0
112,wants go paris. anyone care accompany me?,1,1,0,1,0
113,one minute time,1,1,0,1,0
114,loves avoiding burning whole pocket. lesportsac purses dvd overload.,1,1,0,1,0
115,really hates california's economy right,1,1,0,1,0
116,lost.....my ex relationship,1,1,0,1,0
117,"great day far, thanks santa paula noon meetings. mom.",1,1,0,1,0
118,*propname*'s bestbian,1,1,0,1,0
119,misses ability drive,1,1,0,1,0
120,mi familia de la cuidad de mexico esta aqui! necesito que practicar mi espanol.,1,1,0,1,0
121,"wearing red lipstick, watching movies, hot boys, mother screech family dog..... ""random"" even begin describe scene",1,1,0,1,0
122,anthony bourdain bliss,1,1,0,1,0
123,turbo tax tried charging $140 dollars process taxes. mom free. fuck turbo tax thanks mom saving day.,1,1,0,1,0
124,way north face judgement,1,1,0,1,0
125,"target savior- sandals, dresses shirts, oh my!",1,1,0,1,0
126,"slightly smitten phoenix family. weird, know.",1,1,0,1,0
127,hoping finally get break tomorrow!,1,1,0,1,0
128,rhinanna getting crazier crazier. stupid.,1,1,0,1,0
129,feels like bum without legs,1,1,0,1,0
130,"job weird, welcome.",1,1,0,1,0
131,3 years go,1,1,0,1,0
132,electronics giving out.,1,1,0,1,0
133,celebrating 90th day dieting work whahooo! not.,1,1,0,1,0
134,love new black peacoat. else pumped fall?,1,1,0,1,0
135,sick way never physically sick before. feels like hangover mixed flu mixed weakness nausea,1,1,0,1,0
136,hates business united states' healthcare system,1,1,0,1,0
137,thinks rhianna's italian vogue photoshoot bad taste inappropriate. yuck.,1,1,0,1,0
138,excited nbc thursdays- especially excited community,1,1,0,1,0
139,love *propname*.,1,1,0,1,0
140,"""la vie en rose""- words. absolutely brilliant, honest, beautiful movie.",1,1,0,1,0
141,flashing lights kanye style,1,1,0,1,0
142,got break! $3000 healthcare break! whoooooo,1,1,0,1,0
143,actually going see someone besides mother day off. offense mom. r fabulous turning 13-year-old not-out-of-the-closet-yet gay man amount time spend you.,1,1,0,1,0
144,arggggggggggggg!!!!!!!,1,1,0,1,0
145,"true blood getting halloween spirit. damn, bill hot.",1,1,0,1,0
146,michael scott dancing booze cruise episode really entertaining right now.,1,1,0,1,0
147,"office, cleaning, hanging con mi madre drugs choice evening",1,1,0,1,0
148,rip prague nights fall semester 2007,1,1,0,1,0
149,needs hot hair cut. anyone know get fierce one 50 vc?,1,1,0,1,0
150,"wants know became single 35-year-old lady. tonight visited dating site watched ""accidentally purpose"" felt characters. seriously?!",1,1,0,1,0
151,ready day,1,1,0,1,0
152,life looking,1,1,0,1,0
153,excited kick old school old friend new place,1,1,0,1,0
154,"netflix need least 6 dvds queue? think 5 quite enough, thank gluttonous 'merica.",1,1,0,1,0
155,rediscovering love bjork,1,1,0,1,0
156,"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress $40(!!!confusion, warm comfy- themed xmas shopping, spending time mom, coffee, sephora.com, office, stepping outside forgetting cold gets without proper coverage- productive selfindulgent bliss. bad day off.",1,1,0,1,0
157,wants find way san fran new year,1,1,0,1,0
158,love. *propname*.,1,1,0,1,0
159,going start using disposable cameras again- agrees stephanie anticipation knowing show missed,1,1,0,1,0
160,thank everyone sent fb love made birthday special could ever imagined. sooooooo lucky many great souls life.,1,1,0,1,0
161,excite today weekend.,1,1,0,1,0
162,beautiful fall day southern california.,1,1,0,1,0
163,g-ma coolest,1,1,0,1,0
164,wishes moving world. least ja'mie get it.,1,1,0,1,0
165,today 2 month birthday!,1,1,0,1,0
166,intervention- heroine xanax crack- oh my.,1,1,0,1,0
167,"bad day. even target, shoes, good guacamole carls jr. burger could bring up.",1,1,0,1,0
168,"summer heights high. ja'mie, jonah, mr. g. hooked chris lilley.",1,1,0,1,0
169,"um, amy poehler rocking world right now. seriously, bad date rant hysterical. tivo shit. shit, mean parks recreation.",1,1,0,1,0
170,ten movies watch right (and instant netflixconfusion 1. la vie en rose 2. shrink (if love laconfusion 3. paris je'taime (if love parisconfusion 3. clay pidgeons (*propname* pricelessconfusion 4. quills 5. away go 6. sunshine cleaning 7. league 8. smart people (i heart *propname*'s page sjpconfusion 9. frost//nixon 10. doubt,1,1,0,1,0
171,"stuck band-aid brand, cuz band-aid's stuck me!",1,0,1,0,1
172,going grab raw fish................,1,0,1,0,1
173,"saw hp6... funny, lots awesome awkward silences, scriptwriter needs fingers broken. achieve new improved levels editing important plot elements out, getting increasingly creative n",1,0,1,0,1
174,need re-learn patterns again... awesome...,1,0,1,0,1
175,free slurpee day!!!,1,0,1,0,1
176,got stop waking 1pm...,1,0,1,0,1
177,feeling exactly top-notch...,1,0,1,0,1
178,many notifications next log in...,1,0,1,0,1
179,first day school done! finances going end me...,1,0,1,0,1
180,tired reason looking forward classes starting...,1,0,1,0,1
181,2 months hell yet again... fml,1,0,1,0,1
182,got play fire front crowd... yay!!!,1,0,1,0,1
183,love ren fest...,1,0,1,0,1
184,3 days!!!!!!!!!!!!!,1,0,1,0,1
185,great day!!!,1,0,1,0,1
186,loves pirate english version facebook!!!,1,0,1,0,1
187,choice...,1,0,1,0,1
188,2 days!!!!!!!!!!!!!!!,1,0,1,0,1
189,ren fest rain - still good!!!,1,0,1,0,1
190,kindly thanks everyone wished happy birthday!,1,0,1,0,1
191,finance class frown sad andry pouting,1,0,1,0,1
192,gets sleep tonight!!!!!!!!!,1,0,1,0,1
193,3 hours left!!!!!!!!!!,1,0,1,0,1
194,"much like family's mechanic, really wish would stop giving much business... frown sad andry pouting",1,0,1,0,1
195,dying!!! heeeeelppppp!!!!!,1,0,1,0,1
196,saturday easily one best days entire life!!!,1,0,1,0,1
197,feeling slightly better...,1,0,1,0,1
198,done - procrastinated enough playing bejeweled blitz go offline. mlia,1,0,1,0,1
199,potentially going pulling all-nighter. feel free txt keep entertained//awake...,1,0,1,0,1
200,happy face smileyconfusionconfusionconfusionconfusionconfusionconfusionconfusion,1,0,1,0,1
201,"finally caught sleep laughing big grin laugh glasses rake leaves lose sleep yet studying accounting - call ur bored, late...",1,0,1,0,1
202,"attention everyone!!! vote short ""after hours"" support *propname* - local michigan talent wonderful person. repost please!!! ",1,0,1,0,1
203,looking forward eating body weight tomorrow happy face smiley,1,0,1,0,1
204,"yesterday school, got bored decided go backyard play slingshot. ammo, used peanuts shot trees. decided shoot one really far away. nowhere, squirrel leaped tree, intercepted peanut, landed another tree, ate peanut, gave looked like thumbs-up, ran away. ninja squirrel, amaze me. mlia.",1,0,1,0,1
205,"would love sleep, *propname* writes damn well!!!",1,0,1,0,1
206,rather looking forward holidays potential whereabouts that...,1,0,1,0,1
207,gets overly excited pressing wrong buttons keyboard causes discovery new shortcut happy face smiley,1,0,1,0,1
208,considers one luckiest men ever!!! joyful,1,0,1,0,1
209,wow!!! spent 20 minutes reading one strip... ,1,0,1,0,1
210,handle reading crap barbies competing brand dolls!!! ridiculous - thing making feel little manly beer hand...,1,0,1,0,1
211,acquired 6 brothers sisters today...,1,0,1,0,1
212,4 school days left winter break!!! yay!!!,1,0,1,0,1
213,probably night - feel free txt chat...,1,0,1,0,1
214,"lmao: (512confusion: kept spraying cat water telling ""man up"" cried",1,0,1,0,1
215,listening odd combinations music blames late hour it...,1,0,1,0,1
216,wishes december 17th sooner frown sad andry pouting,1,0,1,0,1
217,cannot wait pass - bad going happen til friday night...,1,0,1,0,1
218,"going library til late, prez's house even later. txt facebook need anything - call killed...",1,0,1,0,1
219,"well.... expected returns like ""oh, you..."" unexpected returns like ""whoa!!!""",1,0,1,0,1
220,believe much food beverages consumed last night...,1,0,1,0,1
221,snow!!!,1,0,1,0,1
222,stupid people stupid beverly hills police best usual... ( *propname* needs call me!!!confusion,1,0,1,0,1
223,epic:  today walking campus saw three people riding motorized couch.  random?  mlia.,1,0,1,0,1
224,excited relaxing little bit tonight happy face smiley,1,0,1,0,1
225,got home today. north great!!!,1,0,1,0,1
226,wait til thursday... happy face smiley,1,0,1,0,1
227,"happy new year, facebook denizens!!!",1,0,1,0,1
228,"apparently mysterious ""*propname*"", allegedly works company decided order stuff office supply company. supposed get 4 packages tomorrow... hmmmm.... almost enough build epic fort!!!",1,0,1,0,1
229,mlig!!!,1,0,1,0,1
230,wait til thursday again... happy face smiley,1,0,1,0,1
231,fancy fun...,1,0,1,0,1
232,omg!!! sun toooo loud!!!!!!!!,1,0,1,0,1
233,second half day got snowed - going take nap productive happy face smiley,1,0,1,0,1
234,"amazing weekentongue sticking cheeky playful blowing raspberry 3rd dan test went well, everyone passed flying colors. valentine's day spent well company best girlfriend world - *propname*. could ask for? p.s. thank everyone could make novi watch test celebrate banquet afterward - really means lot me.",1,0,1,0,1
235,"amazing weekentongue sticking cheeky playful blowing raspberry 3rd dan test went well, everyone passed flying colors. valentine's day spent well company best girlfriend world - *propname*. could ask for?",1,0,1,0,1
236,back vacation tired,1,1,0,1,1
237,good night fishing.,1,1,0,1,1
238,damn close game monday. dolphins almost pulled off!,1,1,0,1,1
239,"close one! w w, go dolphins!",1,1,0,1,1
240,sick shit.,1,1,0,1,1
241,happy veterans day!!! thank veteran dammit!,1,1,0,1,1
242,thems steelers?,1,1,0,1,1
243,done finals,1,1,0,1,1
244,passed praxis,1,1,0,1,1
245,nicel little test *propname*!! way show *propname* play pro football!!,1,1,0,1,1
246,great day church...,1,1,0,0,1
247,day work... good thing working nights week... laughing big grin laugh glasses,1,1,0,0,1
248,transformers watched....,1,1,0,0,1
249,living life one day time,1,1,0,0,1
250,watched episode locked abroad... take freedom granted people... blessing...,1,1,0,0,1
251,going die self,1,1,0,0,1
252,"happy gf. congrats babe, knew could it!!",1,1,0,0,1
253,contemplation mode...,1,1,0,0,1
254,jesus said love others love yourself... first love yourself!!,1,1,0,0,1
255,trying fight,1,1,0,0,1
256,die self...,1,1,0,0,1
257,great weekend her... babe...,1,1,0,0,1
258,kind rough morning... looking up...,1,1,0,0,1
259,worn battle weary... refuse give up...,1,1,0,0,1
260,today another day. get better making right choice once. get better making right choice... everyday... again...,1,1,0,0,1
261,learning... constantly,1,1,0,0,1
262,first time long time... feel like writing...,1,1,0,0,1
263,interesting stage life...,1,1,0,0,1
264,sick.,1,1,0,0,1
265,is...,1,1,0,0,1
266,etching closer becoming stir crazy..,1,1,0,0,1
267,back home... sleepy sleep yet...,1,1,0,0,1
268,needs tie loose ends...,1,1,0,0,1
269,going sleep... soon,1,1,0,0,1
270,interesting start saturday,1,1,0,0,1
271,transitioning,1,1,0,0,1
272,great night,1,1,0,0,1
273,going spend time her...,1,1,0,0,1
274,tied one loose end... feels lighter already,1,1,0,0,1
275,still patiently waiting 9,1,1,0,0,1
276,bye fb,1,1,0,0,1
277,sick,1,1,0,0,1
278,slight rebuild... betsy 2.0 lives surf net again!!,1,1,0,0,1
279,merry christmas people!!!,1,1,0,0,1
280,feels loved appreciated...,1,1,0,0,1
281,wonderful night family friends... night cap wonderful though... weeeee!! got shirt!!!,1,1,0,0,1
282,celebrating her...,1,1,0,0,1
283,celebrating 1 year...,1,1,0,0,1
284,smiling,1,1,0,0,1
285,complaints arsenal fans today's results... wunna get wash off...,1,1,0,0,1
286,"excuses, least god.  like tyrants, worthy spit would waste negotiations.  deal infinitely simpler--i call account, extends courtesy...",0,1,0,0,1
287,back,0,1,0,0,1
288,rip open diseased heart corporation spills out? -on people,0,1,0,0,1
289,wicked overseer,0,1,0,0,1
290,"""keep government away medicare!""  good summary american politics one likely get days.",0,1,0,0,1
291,turn lamp low.,0,1,0,0,1
292,holy. fuck. ,0,1,0,0,1
293,"""what brown rhymes snoop?"" ""dr. dre?"" ""fuck you, carl.""",0,1,0,0,1
294,"""we operate consensus."" ""what americans object?"" ""we operate.""",0,1,0,0,1
295,"fear have, failure adhear path",0,1,0,0,1
296,"that, ladies gentlemen, season opener.",0,1,0,0,1
297,things irritating: microsoft excel.,0,1,0,0,1
298,best way describe *propname* irl troll.,0,1,0,0,1
299,record hard broke needle.,0,1,0,0,1
300,even free cheap.,0,1,0,0,1
301,"""i find absolutely appalling anyone could believe political affiliation would used determine receives medical treatment. race socioeconomic standing for.""",0,1,0,0,1
302,thanks folks.,0,1,0,0,1
303,"fuck, steelers?",0,1,0,0,1
304,"news, steelers 4th quarter depressing thing time.",0,1,0,0,1
305,suppose idiot. suppose member congress. repeat myself.,0,1,0,0,1
306,"bush symptom, because.",0,1,0,0,1
307,bridge over?,0,1,0,0,1
308,fuckin' *propname*,0,1,0,0,1
309,speech hammer,0,1,0,0,1
310,"[the ""liberal media""] love denounced right, right loves denounce them, makes look like courageous defenders freedom independence while, fact, imposing presuppositions propaganda system.-chomsky",0,1,0,0,1
311,stop violence start revolution-talib,0,1,0,0,1
312,"give food poor, call saint.  ask poor food, call communist.-*propname*",0,1,0,0,1
313,best argument democracy five-minute conversation average voter.,0,1,0,0,1
314,want: characters heroes.,0,1,0,0,1
315,"peoples learn spot fanning mass emotions sowing bitterness, suspicion, intolerance crimes - perhaps greatest disservice done popular government - sort thing continue occur.",0,1,0,0,1
316,"thank you, *propname*, still ballot stupid people could vote you.",0,1,0,0,1
317,"""how impious title sacred majesty applied worm, midst splendor crumbling dust!""-*propname*.  make writers like used to.",0,1,0,0,1
318,"""fuck you, dolphin!""",0,1,0,0,1
319,yankees woooo,0,1,0,0,1
320,"""necessity plea every infringement human freedom. argument tyrants; creed slaves."" - *propname*",0,1,0,0,1
321,steelers!,0,1,0,0,1
322,"""britain's desire big player world stage delivered huge benefits including dragged series catastrophic wars america's throbbing tumescence lodged firmly back throat, time unable afford decent roads, railways, schools hospitals. call 'win-win'.""",0,1,0,0,1
323,fucking computer got virus.  incredible.,0,1,0,0,1
324,quit drinking diet coke.  much sadness headaches.,0,1,0,0,1
325,aboard you.s.s. rational basis.,0,1,0,0,1
326,"restoration! or, lts incredible.",0,1,0,0,1
327,"insist human genetic code ""sacred"" ""taboo""? chemical process nothing more. matter -we- chemical processes nothing more. deny useful tool simply reminds uncomfortably mortality, uselessly pointlessly crippled yourself. chairman *propname*, ""looking god eye""",0,1,0,0,1
328,spit hard oughta crime,0,1,0,0,1
329,spit hard oughta crime.,0,1,0,0,1
330,fucking *propname*.,0,1,0,0,1
331,mind child revolution begins.,0,1,0,0,1
332,"kansas city chiefs pittsburgh steelers, 27-24.  disgrace.",0,1,0,0,1
333,found actual wep key!!!!,0,1,0,0,1
334,classes over!  home week.,0,1,0,0,1
335,fuck. yes.,0,1,0,0,1
336,"""we supposed call h1n1."" ""i refuse back pig farmers.  today, ever.""",0,1,0,0,1
337,kill all.  god recognize own.-*propname*,0,1,0,0,1
338,"face facts. act them. mantra know, doctrine offer you, harder would think, swear humans seem hardwired anything but. face facts. pray, wish, buy centuries-old dogma dead rhetoric. give conditioning visions fucked-up sense of... whatever. face facts. act.",0,1,0,0,1
339,"stability means run it. countries stable. cuba stable, thats called stability.",0,1,0,0,1
340,avatar: best picture,0,1,0,0,1
341,wow new orleans.,0,1,0,0,1
342,"bamboo thinks wood, pisses off.",0,1,0,0,1
343,passed stats motherfucker!!!!,0,1,0,0,1
344,"hey, actually december.",0,1,0,0,1
345,"then, got food poisoning.",0,1,0,0,1
346,show completely smooth operation show cover up. real boats rock. -*propname*,0,1,0,0,1
347,"see another king, think shall bite him.-*propname*.",0,1,0,0,1
348,"rule great:    people greatly admire appear thinking deep thoughts, probably thinking lunch.",0,1,0,0,1
349,"""we rule consensus."" ""what americans object?"" ""we operate.""",0,1,0,0,1
350,"""libertarianism anarchism rich people.""",0,1,0,0,1
351,progress made lazy men looking easier ways things.-heinlein,0,1,0,0,1
352,"""no one let us charms vehicle entire united states marine corps.""",0,1,0,0,1
353,r.i.p. *propname*.,0,1,0,0,1
354,"know this, *propname* apparently hebrew name means ""the lord remembers,"" basically incredible.",0,1,0,0,1
355,let us go lions,0,1,0,0,1
356,"*propname* ejected new york state senate, good, slashed girlfriend knife.",0,1,0,0,1
357,"good work, golden globes.",0,1,0,0,1
358,prophet versus profits time.,0,1,0,0,1
359,four day camping trip!!! holy crap! going fun...,0,0,1,1,0
360,change name??,0,0,1,1,0
361,things got really complicated,0,0,1,1,0
362,back sunburned bad... ill live guess.,0,0,1,1,0
363,bored tears... well literally but... still bored!,0,0,1,1,0
364,mind........ well hopefully top head.....,0,0,1,1,0
365,happy fourth everyone,0,0,1,1,0
366,still nothing summer,0,0,1,1,0
367,first day school ssloooooww...... hopefuly get better year gos,0,0,1,1,0
368,football!!!!! first scrimmage today! going awesome!!!,0,0,1,1,0
369,think fun run circles around someone running even better get tired first!,0,0,1,1,0
370,think fun run circles around someone running... even better get tired first!,0,0,1,1,0
371,one one bored?,0,0,1,1,0
372,wait fair bowl!,0,0,1,1,0
373,35 34! close still win!!!,0,0,1,1,0
374,haha! say bored person time..... great weekend!,0,0,1,1,0
375,boreded again.......,0,0,1,1,0
376,fun school....... hmmm....... nvm,0,0,1,1,0
377,snowing morning........                  supposed happen??,0,0,1,1,0
378,wait friday! (football gameconfusion,0,0,1,1,0
379,liked greenhand conference enjoyed watching volleyball woop butt today.....,0,0,1,1,0
380,bored!!!,0,0,1,1,0
381,awesomely cool!!!,0,0,1,1,0
382,homecoming awesome! loved getting tackle!! want play again.....,0,0,1,1,0
383,bored today..... always bored... know why... hmmm,0,0,1,1,0
384,change facebook user name,0,0,1,1,0
385,wait friday!,0,0,1,1,0
386,scary people today... *whispers (opposite sex dayconfusion*,0,0,1,1,0
387,great life have... first nose... fricken hand!,0,0,1,1,0
388,ugh! another game lost..... need work team!,0,0,1,1,0
389,basketball fun lost two games two,0,0,1,1,0
390,lost another game... dang!! close,0,0,1,1,0
391,new status time... put... oh well,0,0,1,1,0
392,completely honest next 24 hours....you ask one question (only inboxconfusion....any question matter crazy wrong is....but ask one question!!!! full honesty....but dare put status see questions get !!! happy face smiley x interesting.,0,0,1,1,0
393,ah! hate sick..... go school tomorrow..... (hate toconfusion,0,0,1,1,0
394,completely honest next 24 hours....you ask one question (only inboxconfusion....any question matter crazy wrong is....but ask one question!!!! full honesty....but dare put status see questions get !!! happy face smiley x interesting.,0,0,1,1,0
395,dragons ignored human names not't like bearer.,0,0,1,1,0
396,"fie! time, inc. blocked gchat... mean productive now?",1,1,0,1,1
397,search perfect margarita... happy face smiley,1,1,0,1,1
398,"sitting laguardia, wondering flight delayed, saw tv bomb threat evacuation earlier today... lucky meeee",1,1,0,1,1
399,take nose ring join corporate world?,1,1,0,1,1
400,"spent last hour looking photos junior abroad london, dying go back",1,1,0,1,1
401,hmmm better fail pass//fail...,1,1,0,1,1
402,struggling frown sad andry pouting frown sad andry pouting frown sad andry pouting frown sad andry pouting frown sad andry pouting,1,1,0,1,1
403,e snow... apparently one time since 1969!,1,1,0,1,1
404,law school hard!,1,1,0,1,1
405,"thanks everyone, decided get younger year... happy face smiley",1,1,0,1,1
406,work! >.<,1,1,0,0,1
407,hopes transformers sold out!,1,1,0,0,1
408,going mellow mushroom work 8.,1,1,0,0,1
409,must insane starting twitter account,1,1,0,0,1
410,hates *propname* starting damn farm town app.  must stert playing give gifts! mafia wars too. fml loser.,1,1,0,0,1
411,la la la la!,1,1,0,0,1
412,"hello, high dry.",1,1,0,0,1
413,bluff!,1,1,0,0,1
414,loves gorilla face!,1,1,0,0,1
415,"face covered freckles occasional spot veins body covered skin see and, this, mind goes old lines and, this, brain torturous analytical thoug",1,1,0,0,1
416,*propname* comes back tonight!!! yaaaaayyyy!!!!!!,1,1,0,0,1
417,ready school start back... summer sucks actually vacation,1,1,0,0,1
418,realizes friends facebook remember met... wrong? discussembarrassed blushing,1,1,0,0,1
419,"reading master fool, convoluted finally book words trillogy, playing stupid facebook apps... nerd. >.<",1,1,0,0,1
420,"creating linkedin account, already many networking accounts keep track of!",1,1,0,0,1
421,"i, thinking sign freckles eyes mirror images, kiss perfectly aligned speculate god make us corresponding shapes like puzzle pieces clay",1,1,0,0,1
422,work... yay.,1,1,0,0,1
